Epoch: 001, LR: 0.010000, Loss: 0.2671241, Validation MAE: 1.3856550, Test MAE: 2.0367734, Test MAE norm: 12.5171776
Epoch: 004, LR: 0.010000, Loss: 0.2408947, Validation MAE: 0.2399245, Test MAE: 0.7452987, Test MAE norm: 4.5803013
Epoch: 006, LR: 0.010000, Loss: 0.1724774, Validation MAE: 0.0910521, Test MAE: 0.4096682, Test MAE norm: 2.5176535
Epoch: 007, LR: 0.010000, Loss: 0.1356275, Validation MAE: 0.0194640, Test MAE: 0.0436821, Test MAE norm: 0.2684526
Epoch: 008, LR: 0.010000, Loss: 0.1196628, Validation MAE: 0.0157948, Test MAE: 0.0227959, Test MAE norm: 0.1400944
Epoch: 018, LR: 0.010000, Loss: 0.1345462, Validation MAE: 0.0190668, Test MAE: 0.0260894, Test MAE norm: 0.1603348
Epoch: 019, LR: 0.010000, Loss: 0.1246184, Validation MAE: 0.0161731, Test MAE: 0.0320434, Test MAE norm: 0.1969254
Epoch: 026, LR: 0.009000, Loss: 0.1197551, Validation MAE: 0.0156889, Test MAE: 0.0208266, Test MAE norm: 0.1279916
Epoch: 027, LR: 0.009000, Loss: 0.1208449, Validation MAE: 0.0152445, Test MAE: 0.0078396, Test MAE norm: 0.0481792
Epoch: 037, LR: 0.009000, Loss: 0.1213200, Validation MAE: 0.0455108, Test MAE: 0.0390979, Test MAE norm: 0.2402797
Epoch: 041, LR: 0.008100, Loss: 0.1191106, Validation MAE: 0.0159513, Test MAE: 0.0123981, Test MAE norm: 0.0761935
Epoch: 051, LR: 0.007290, Loss: 0.1258035, Validation MAE: 0.3513927, Test MAE: 0.3451761, Test MAE norm: 2.1213114
Epoch: 061, LR: 0.006561, Loss: 0.1103640, Validation MAE: 0.3109120, Test MAE: 0.3082123, Test MAE norm: 1.8941472
Epoch: 071, LR: 0.006561, Loss: 0.1145497, Validation MAE: 1.2025698, Test MAE: 1.1960322, Test MAE norm: 7.3503251
Epoch: 075, LR: 0.005905, Loss: 0.1097676, Validation MAE: 1.1391522, Test MAE: 1.1333770, Test MAE norm: 6.9652719
Epoch: 076, LR: 0.005905, Loss: 0.1118274, Validation MAE: 1.0052636, Test MAE: 0.9982943, Test MAE norm: 6.1351089
Epoch: 086, LR: 0.005314, Loss: 0.1062859, Validation MAE: 2.1556735, Test MAE: 2.1550677, Test MAE norm: 13.2441654
Epoch: 088, LR: 0.005314, Loss: 0.1058669, Validation MAE: 1.9958738, Test MAE: 1.9894927, Test MAE norm: 12.2266092
Epoch: 089, LR: 0.005314, Loss: 0.1052872, Validation MAE: 1.9730359, Test MAE: 1.9686855, Test MAE norm: 12.0987368
Epoch: 090, LR: 0.005314, Loss: 0.1048561, Validation MAE: 1.7826465, Test MAE: 1.7801486, Test MAE norm: 10.9400663
Epoch: 091, LR: 0.005314, Loss: 0.1068905, Validation MAE: 1.1677858, Test MAE: 1.1670231, Test MAE norm: 7.1720471
Epoch: 092, LR: 0.005314, Loss: 0.1071985, Validation MAE: 0.4175537, Test MAE: 0.4143564, Test MAE norm: 2.5464652
Epoch: 093, LR: 0.005314, Loss: 0.1064144, Validation MAE: 0.2704433, Test MAE: 0.2633008, Test MAE norm: 1.6181394
