Command line input: python run_count.py --batch_size 256 --target 0 --model IDGNN --h 3 --seed 1 --epoch 2000 --dataset easy-1
Mean = 7.924, Std = 12.519
Using IDGNN model

Epoch: 001, LR: 0.001000, Loss: 0.4404981, Validation MAE: 4.1103253, Test MAE: 4.6231165, Test MAE norm: 0.3692762
Epoch: 003, LR: 0.001000, Loss: 0.3498873, Validation MAE: 3.9781411, Test MAE: 3.9569623, Test MAE norm: 0.3160664
Epoch: 004, LR: 0.001000, Loss: 0.3348977, Validation MAE: 3.6821468, Test MAE: 3.8083754, Test MAE norm: 0.3041979
Epoch: 005, LR: 0.001000, Loss: 0.3133217, Validation MAE: 3.4782834, Test MAE: 3.6755388, Test MAE norm: 0.2935874
Epoch: 006, LR: 0.001000, Loss: 0.2975956, Validation MAE: 3.2595518, Test MAE: 3.2312431, Test MAE norm: 0.2580988
Epoch: 009, LR: 0.001000, Loss: 0.3046523, Validation MAE: 3.0941863, Test MAE: 3.2866561, Test MAE norm: 0.2625250
Epoch: 011, LR: 0.001000, Loss: 0.2939669, Validation MAE: 2.7494388, Test MAE: 3.2599869, Test MAE norm: 0.2603948
Epoch: 013, LR: 0.001000, Loss: 0.2745469, Validation MAE: 2.3461468, Test MAE: 3.1150601, Test MAE norm: 0.2488186
Epoch: 014, LR: 0.001000, Loss: 0.2297943, Validation MAE: 2.2680912, Test MAE: 2.9036622, Test MAE norm: 0.2319330
Epoch: 024, LR: 0.001000, Loss: 0.2532651, Validation MAE: 2.4550114, Test MAE: 2.8859642, Test MAE norm: 0.2305193
Epoch: 025, LR: 0.001000, Loss: 0.2310901, Validation MAE: 2.2697716, Test MAE: 2.7353265, Test MAE norm: 0.2184870
Epoch: 031, LR: 0.000900, Loss: 0.2480820, Validation MAE: 2.1415696, Test MAE: 2.8519897, Test MAE norm: 0.2278056
Epoch: 041, LR: 0.000900, Loss: 0.2591732, Validation MAE: 3.0709422, Test MAE: 3.6671424, Test MAE norm: 0.2929167
Epoch: 042, LR: 0.000900, Loss: 0.2617145, Validation MAE: 2.8936872, Test MAE: 3.5348561, Test MAE norm: 0.2823502
Epoch: 043, LR: 0.000810, Loss: 0.2529587, Validation MAE: 2.6581116, Test MAE: 3.3147988, Test MAE norm: 0.2647730
Epoch: 044, LR: 0.000810, Loss: 0.2409322, Validation MAE: 2.5167317, Test MAE: 3.1299336, Test MAE norm: 0.2500066
Epoch: 045, LR: 0.000810, Loss: 0.2308298, Validation MAE: 2.4233835, Test MAE: 3.0345879, Test MAE norm: 0.2423908
Epoch: 046, LR: 0.000810, Loss: 0.2228841, Validation MAE: 2.3043623, Test MAE: 2.9447596, Test MAE norm: 0.2352157
Epoch: 047, LR: 0.000810, Loss: 0.2115979, Validation MAE: 2.1943259, Test MAE: 2.8097146, Test MAE norm: 0.2244288
Epoch: 050, LR: 0.000810, Loss: 0.2379060, Validation MAE: 2.0898082, Test MAE: 2.6938171, Test MAE norm: 0.2151714
Epoch: 056, LR: 0.000810, Loss: 0.2189670, Validation MAE: 1.9940827, Test MAE: 2.6700771, Test MAE norm: 0.2132751
Epoch: 066, LR: 0.000810, Loss: 0.2033388, Validation MAE: 2.2654343, Test MAE: 2.7303414, Test MAE norm: 0.2180888
Epoch: 067, LR: 0.000810, Loss: 0.2097521, Validation MAE: 2.0763180, Test MAE: 2.6635480, Test MAE norm: 0.2127536
Epoch: 071, LR: 0.000729, Loss: 0.2023039, Validation MAE: 2.0389512, Test MAE: 2.6448712, Test MAE norm: 0.2112618
Epoch: 072, LR: 0.000729, Loss: 0.1950608, Validation MAE: 2.0237522, Test MAE: 2.7280190, Test MAE norm: 0.2179033
Epoch: 073, LR: 0.000729, Loss: 0.2030937, Validation MAE: 2.0136387, Test MAE: 2.6263216, Test MAE norm: 0.2097801
Epoch: 080, LR: 0.000656, Loss: 0.2012790, Validation MAE: 1.9775887, Test MAE: 2.6247468, Test MAE norm: 0.2096543
Epoch: 090, LR: 0.000656, Loss: 0.1914561, Validation MAE: 2.0771711, Test MAE: 2.5793850, Test MAE norm: 0.2060310
Epoch: 091, LR: 0.000656, Loss: 0.1933794, Validation MAE: 2.0080948, Test MAE: 2.5537128, Test MAE norm: 0.2039804
Epoch: 092, LR: 0.000590, Loss: 0.1906816, Validation MAE: 1.9925565, Test MAE: 2.5489876, Test MAE norm: 0.2036030
Epoch: 094, LR: 0.000590, Loss: 0.1908285, Validation MAE: 1.9878718, Test MAE: 2.5458231, Test MAE norm: 0.2033502
Epoch: 098, LR: 0.000590, Loss: 0.1897657, Validation MAE: 1.9756467, Test MAE: 2.5269027, Test MAE norm: 0.2018389
Epoch: 101, LR: 0.000590, Loss: 0.1892587, Validation MAE: 1.9676439, Test MAE: 2.5193260, Test MAE norm: 0.2012337
Epoch: 105, LR: 0.000590, Loss: 0.1882288, Validation MAE: 1.9495238, Test MAE: 2.5181091, Test MAE norm: 0.2011365
Epoch: 110, LR: 0.000590, Loss: 0.1891083, Validation MAE: 1.9376030, Test MAE: 2.5237031, Test MAE norm: 0.2015834
Epoch: 120, LR: 0.000590, Loss: 0.2033105, Validation MAE: 2.1435423, Test MAE: 2.6070943, Test MAE norm: 0.2082443
Epoch: 121, LR: 0.000590, Loss: 0.1949668, Validation MAE: 2.1363838, Test MAE: 2.6377165, Test MAE norm: 0.2106903
Epoch: 122, LR: 0.000531, Loss: 0.2095956, Validation MAE: 1.9738560, Test MAE: 2.5505803, Test MAE norm: 0.2037302
Epoch: 127, LR: 0.000531, Loss: 0.2072816, Validation MAE: 1.9673643, Test MAE: 2.5806746, Test MAE norm: 0.2061340
Epoch: 137, LR: 0.000478, Loss: 0.1940968, Validation MAE: 1.9765073, Test MAE: 2.5652385, Test MAE norm: 0.2049010
Epoch: 142, LR: 0.000478, Loss: 0.1923297, Validation MAE: 1.9739977, Test MAE: 2.5196831, Test MAE norm: 0.2012623
Epoch: 152, LR: 0.000430, Loss: 0.1893283, Validation MAE: 2.0239644, Test MAE: 2.5061889, Test MAE norm: 0.2001844
Epoch: 155, LR: 0.000387, Loss: 0.1872915, Validation MAE: 1.9902821, Test MAE: 2.5018146, Test MAE norm: 0.1998350
Epoch: 156, LR: 0.000387, Loss: 0.1867650, Validation MAE: 1.9789108, Test MAE: 2.4979517, Test MAE norm: 0.1995264
Epoch: 164, LR: 0.000387, Loss: 0.1863276, Validation MAE: 1.9747612, Test MAE: 2.5129921, Test MAE norm: 0.2007278
Epoch: 169, LR: 0.000349, Loss: 0.1855663, Validation MAE: 1.9632804, Test MAE: 2.5000844, Test MAE norm: 0.1996968
Epoch: 173, LR: 0.000349, Loss: 0.1850854, Validation MAE: 1.9615144, Test MAE: 2.4972613, Test MAE norm: 0.1994713
Epoch: 177, LR: 0.000314, Loss: 0.1845413, Validation MAE: 1.9565626, Test MAE: 2.4933915, Test MAE norm: 0.1991622
Epoch: 181, LR: 0.000314, Loss: 0.1842538, Validation MAE: 1.9521109, Test MAE: 2.4877172, Test MAE norm: 0.1987090
Epoch: 187, LR: 0.000314, Loss: 0.1840662, Validation MAE: 1.9515676, Test MAE: 2.4780285, Test MAE norm: 0.1979351
Epoch: 188, LR: 0.000282, Loss: 0.1837662, Validation MAE: 1.9430875, Test MAE: 2.4723134, Test MAE norm: 0.1974786
Epoch: 192, LR: 0.000282, Loss: 0.1831278, Validation MAE: 1.9218183, Test MAE: 2.4596758, Test MAE norm: 0.1964691
Epoch: 198, LR: 0.000282, Loss: 0.1834567, Validation MAE: 1.9110954, Test MAE: 2.4552441, Test MAE norm: 0.1961151
Epoch: 208, LR: 0.000282, Loss: 0.1965404, Validation MAE: 1.9229290, Test MAE: 2.4409268, Test MAE norm: 0.1949715
Epoch: 218, LR: 0.000254, Loss: 0.1885820, Validation MAE: 2.0011055, Test MAE: 2.4808249, Test MAE norm: 0.1981584
Epoch: 221, LR: 0.000229, Loss: 0.1865582, Validation MAE: 1.9508854, Test MAE: 2.4523575, Test MAE norm: 0.1958846
Epoch: 222, LR: 0.000229, Loss: 0.1838395, Validation MAE: 1.9439725, Test MAE: 2.4538195, Test MAE norm: 0.1960013
Epoch: 227, LR: 0.000229, Loss: 0.1830614, Validation MAE: 1.9436643, Test MAE: 2.4537416, Test MAE norm: 0.1959951
Epoch: 228, LR: 0.000229, Loss: 0.1843995, Validation MAE: 1.9390346, Test MAE: 2.4535530, Test MAE norm: 0.1959801
Epoch: 238, LR: 0.000206, Loss: 0.1827549, Validation MAE: 1.9190561, Test MAE: 2.4277654, Test MAE norm: 0.1939202
Epoch: 248, LR: 0.000185, Loss: 0.1818817, Validation MAE: 1.9500967, Test MAE: 2.4439080, Test MAE norm: 0.1952097
Epoch: 251, LR: 0.000185, Loss: 0.1822409, Validation MAE: 1.9219645, Test MAE: 2.4502203, Test MAE norm: 0.1957139
Epoch: 252, LR: 0.000185, Loss: 0.1815633, Validation MAE: 1.9196577, Test MAE: 2.4438872, Test MAE norm: 0.1952080
Epoch: 256, LR: 0.000167, Loss: 0.1812193, Validation MAE: 1.9152172, Test MAE: 2.4292996, Test MAE norm: 0.1940428
Epoch: 257, LR: 0.000167, Loss: 0.1813662, Validation MAE: 1.9146823, Test MAE: 2.4307323, Test MAE norm: 0.1941572
Epoch: 265, LR: 0.000150, Loss: 0.1806442, Validation MAE: 1.9025989, Test MAE: 2.4344907, Test MAE norm: 0.1944574
Epoch: 275, LR: 0.000150, Loss: 0.1804624, Validation MAE: 1.9073981, Test MAE: 2.4192784, Test MAE norm: 0.1932423
Epoch: 276, LR: 0.000150, Loss: 0.1804157, Validation MAE: 1.9023694, Test MAE: 2.4204061, Test MAE norm: 0.1933324
Epoch: 278, LR: 0.000150, Loss: 0.1803465, Validation MAE: 1.9001348, Test MAE: 2.4193053, Test MAE norm: 0.1932445
Epoch: 279, LR: 0.000150, Loss: 0.1800888, Validation MAE: 1.8995695, Test MAE: 2.4162495, Test MAE norm: 0.1930004
Epoch: 285, LR: 0.000150, Loss: 0.1799077, Validation MAE: 1.8864346, Test MAE: 2.4116330, Test MAE norm: 0.1926316
Epoch: 288, LR: 0.000150, Loss: 0.1826876, Validation MAE: 1.8831980, Test MAE: 2.4016244, Test MAE norm: 0.1918322
Epoch: 298, LR: 0.000150, Loss: 0.1800049, Validation MAE: 1.8982099, Test MAE: 2.4151378, Test MAE norm: 0.1929116
Epoch: 301, LR: 0.000135, Loss: 0.1794901, Validation MAE: 1.8794734, Test MAE: 2.4081182, Test MAE norm: 0.1923509
Epoch: 308, LR: 0.000135, Loss: 0.1794571, Validation MAE: 1.8755970, Test MAE: 2.3931487, Test MAE norm: 0.1911552
Epoch: 318, LR: 0.000135, Loss: 0.1798006, Validation MAE: 1.8837100, Test MAE: 2.3965912, Test MAE norm: 0.1914302
Epoch: 322, LR: 0.000122, Loss: 0.1789606, Validation MAE: 1.8788679, Test MAE: 2.3905129, Test MAE norm: 0.1909447
Epoch: 325, LR: 0.000122, Loss: 0.1793673, Validation MAE: 1.8755820, Test MAE: 2.3872423, Test MAE norm: 0.1906834
Epoch: 335, LR: 0.000109, Loss: 0.1788540, Validation MAE: 1.8774232, Test MAE: 2.4020503, Test MAE norm: 0.1918662
Epoch: 336, LR: 0.000109, Loss: 0.1782510, Validation MAE: 1.8523341, Test MAE: 2.3952231, Test MAE norm: 0.1913209
Epoch: 343, LR: 0.000109, Loss: 0.1784662, Validation MAE: 1.8520600, Test MAE: 2.3887672, Test MAE norm: 0.1908052
Epoch: 353, LR: 0.000109, Loss: 0.1791213, Validation MAE: 1.9328392, Test MAE: 2.4134421, Test MAE norm: 0.1927762
Epoch: 354, LR: 0.000109, Loss: 0.1795614, Validation MAE: 1.8959230, Test MAE: 2.3869298, Test MAE norm: 0.1906585
Epoch: 355, LR: 0.000098, Loss: 0.1780930, Validation MAE: 1.8734608, Test MAE: 2.3695016, Test MAE norm: 0.1892664
Epoch: 356, LR: 0.000098, Loss: 0.1793142, Validation MAE: 1.8732985, Test MAE: 2.3867979, Test MAE norm: 0.1906479
Epoch: 358, LR: 0.000098, Loss: 0.1787010, Validation MAE: 1.8341256, Test MAE: 2.3856616, Test MAE norm: 0.1905572
Epoch: 368, LR: 0.000098, Loss: 0.1790251, Validation MAE: 1.9418877, Test MAE: 2.4124665, Test MAE norm: 0.1926982
Epoch: 369, LR: 0.000098, Loss: 0.1810950, Validation MAE: 1.8659575, Test MAE: 2.3728011, Test MAE norm: 0.1895299
Epoch: 374, LR: 0.000089, Loss: 0.1774832, Validation MAE: 1.8520122, Test MAE: 2.3823946, Test MAE norm: 0.1902962
Epoch: 383, LR: 0.000080, Loss: 0.1774658, Validation MAE: 1.8434192, Test MAE: 2.3895898, Test MAE norm: 0.1908709
Epoch: 384, LR: 0.000080, Loss: 0.1802047, Validation MAE: 1.8428123, Test MAE: 2.3933496, Test MAE norm: 0.1911712
Epoch: 392, LR: 0.000072, Loss: 0.1772068, Validation MAE: 1.8390583, Test MAE: 2.3706989, Test MAE norm: 0.1893620
Epoch: 395, LR: 0.000072, Loss: 0.1778241, Validation MAE: 1.8367243, Test MAE: 2.3768997, Test MAE norm: 0.1898573
Epoch: 405, LR: 0.000065, Loss: 0.1770601, Validation MAE: 1.8281944, Test MAE: 2.3785894, Test MAE norm: 0.1899923
Epoch: 413, LR: 0.000065, Loss: 0.1770099, Validation MAE: 1.8200170, Test MAE: 2.3700294, Test MAE norm: 0.1893085
Epoch: 423, LR: 0.000065, Loss: 0.1768679, Validation MAE: 1.8647232, Test MAE: 2.3775580, Test MAE norm: 0.1899099
Epoch: 425, LR: 0.000058, Loss: 0.1775626, Validation MAE: 1.8504606, Test MAE: 2.3632331, Test MAE norm: 0.1887657
Epoch: 426, LR: 0.000058, Loss: 0.1764812, Validation MAE: 1.8340653, Test MAE: 2.3623893, Test MAE norm: 0.1886983
Epoch: 436, LR: 0.000052, Loss: 0.1761063, Validation MAE: 1.8480055, Test MAE: 2.3681033, Test MAE norm: 0.1891547
Epoch: 437, LR: 0.000052, Loss: 0.1765019, Validation MAE: 1.8233610, Test MAE: 2.3666921, Test MAE norm: 0.1890419
Epoch: 438, LR: 0.000052, Loss: 0.1760761, Validation MAE: 1.8131956, Test MAE: 2.3665848, Test MAE norm: 0.1890334
Epoch: 448, LR: 0.000052, Loss: 0.1762044, Validation MAE: 1.8135945, Test MAE: 2.3602698, Test MAE norm: 0.1885290
Epoch: 458, LR: 0.000047, Loss: 0.1758147, Validation MAE: 1.8330122, Test MAE: 2.3631101, Test MAE norm: 0.1887558
Epoch: 459, LR: 0.000047, Loss: 0.1757485, Validation MAE: 1.8165696, Test MAE: 2.3575871, Test MAE norm: 0.1883147
Epoch: 461, LR: 0.000042, Loss: 0.1755205, Validation MAE: 1.8144425, Test MAE: 2.3567979, Test MAE norm: 0.1882516
Epoch: 468, LR: 0.000042, Loss: 0.1756479, Validation MAE: 1.8108672, Test MAE: 2.3580267, Test MAE norm: 0.1883498
Epoch: 478, LR: 0.000042, Loss: 0.1753580, Validation MAE: 1.8116058, Test MAE: 2.3520651, Test MAE norm: 0.1878736
Epoch: 485, LR: 0.000038, Loss: 0.1750349, Validation MAE: 1.8016204, Test MAE: 2.3539839, Test MAE norm: 0.1880269
Epoch: 494, LR: 0.000038, Loss: 0.1757403, Validation MAE: 1.7997184, Test MAE: 2.3512962, Test MAE norm: 0.1878122
Epoch: 501, LR: 0.000038, Loss: 0.1749290, Validation MAE: 1.7976636, Test MAE: 2.3490605, Test MAE norm: 0.1876336
Epoch: 511, LR: 0.000038, Loss: 0.1754883, Validation MAE: 1.8152764, Test MAE: 2.3543701, Test MAE norm: 0.1880577
Epoch: 512, LR: 0.000038, Loss: 0.1747774, Validation MAE: 1.8133323, Test MAE: 2.3517294, Test MAE norm: 0.1878468
Epoch: 513, LR: 0.000034, Loss: 0.1746057, Validation MAE: 1.8062099, Test MAE: 2.3474774, Test MAE norm: 0.1875072
Epoch: 516, LR: 0.000034, Loss: 0.1746031, Validation MAE: 1.7984080, Test MAE: 2.3466084, Test MAE norm: 0.1874377
Epoch: 523, LR: 0.000034, Loss: 0.1744825, Validation MAE: 1.7973475, Test MAE: 2.3429382, Test MAE norm: 0.1871446
