Command line input: python run_count.py --batch_size 256 --target 2 --model GNNAK --h 3 --seed 1 --epoch 2000 --dataset easy-1
Mean = 9.685, Std = 14.079
Using GNNAK model

Epoch: 001, LR: 0.001000, Loss: 0.5669026, Validation MAE: 7.9194188, Test MAE: 8.2550039, Test MAE norm: 0.5863426
Epoch: 002, LR: 0.001000, Loss: 0.5387562, Validation MAE: 7.1848645, Test MAE: 6.7786655, Test MAE norm: 0.4814801
Epoch: 003, LR: 0.001000, Loss: 0.4817332, Validation MAE: 6.8325114, Test MAE: 6.5743299, Test MAE norm: 0.4669664
Epoch: 004, LR: 0.001000, Loss: 0.4596093, Validation MAE: 6.5008397, Test MAE: 6.3336406, Test MAE norm: 0.4498706
Epoch: 006, LR: 0.001000, Loss: 0.4400134, Validation MAE: 5.8968315, Test MAE: 5.8311095, Test MAE norm: 0.4141764
Epoch: 007, LR: 0.001000, Loss: 0.4045326, Validation MAE: 5.8316774, Test MAE: 5.9519777, Test MAE norm: 0.4227615
Epoch: 009, LR: 0.001000, Loss: 0.4400635, Validation MAE: 5.5494428, Test MAE: 5.5959415, Test MAE norm: 0.3974727
Epoch: 010, LR: 0.001000, Loss: 0.3884614, Validation MAE: 5.3496809, Test MAE: 5.3239722, Test MAE norm: 0.3781551
Epoch: 011, LR: 0.001000, Loss: 0.3756224, Validation MAE: 5.1614275, Test MAE: 5.3737578, Test MAE norm: 0.3816913
Epoch: 012, LR: 0.001000, Loss: 0.3700670, Validation MAE: 5.0431447, Test MAE: 5.1615162, Test MAE norm: 0.3666160
Epoch: 014, LR: 0.001000, Loss: 0.3644563, Validation MAE: 4.7041984, Test MAE: 4.8577347, Test MAE norm: 0.3450388
Epoch: 017, LR: 0.001000, Loss: 0.3605556, Validation MAE: 4.6386442, Test MAE: 5.2536969, Test MAE norm: 0.3731635
Epoch: 020, LR: 0.001000, Loss: 0.3305766, Validation MAE: 4.5155253, Test MAE: 4.9216809, Test MAE norm: 0.3495808
Epoch: 021, LR: 0.001000, Loss: 0.3246270, Validation MAE: 4.4661345, Test MAE: 4.8949914, Test MAE norm: 0.3476851
Epoch: 031, LR: 0.001000, Loss: 0.3367831, Validation MAE: 4.5303698, Test MAE: 4.8042865, Test MAE norm: 0.3412424
Epoch: 035, LR: 0.000900, Loss: 0.3275766, Validation MAE: 4.4257684, Test MAE: 4.9332757, Test MAE norm: 0.3504044
Epoch: 036, LR: 0.000900, Loss: 0.3218482, Validation MAE: 4.3878846, Test MAE: 4.8919926, Test MAE norm: 0.3474721
Epoch: 042, LR: 0.000900, Loss: 0.3128806, Validation MAE: 4.3526206, Test MAE: 4.7090216, Test MAE norm: 0.3344759
Epoch: 046, LR: 0.000900, Loss: 0.3062294, Validation MAE: 4.2700038, Test MAE: 4.7539372, Test MAE norm: 0.3376662
Epoch: 050, LR: 0.000900, Loss: 0.3014030, Validation MAE: 4.2561722, Test MAE: 4.8565807, Test MAE norm: 0.3449568
Epoch: 051, LR: 0.000900, Loss: 0.3018275, Validation MAE: 4.2325478, Test MAE: 4.7940483, Test MAE norm: 0.3405152
Epoch: 056, LR: 0.000900, Loss: 0.2984918, Validation MAE: 4.2068281, Test MAE: 4.7522073, Test MAE norm: 0.3375433
Epoch: 059, LR: 0.000900, Loss: 0.2963954, Validation MAE: 4.1994710, Test MAE: 4.6505246, Test MAE norm: 0.3303209
Epoch: 060, LR: 0.000900, Loss: 0.2968507, Validation MAE: 4.1663647, Test MAE: 4.6914344, Test MAE norm: 0.3332267
Epoch: 065, LR: 0.000900, Loss: 0.2912738, Validation MAE: 4.1454911, Test MAE: 4.7036095, Test MAE norm: 0.3340915
Epoch: 067, LR: 0.000900, Loss: 0.2898732, Validation MAE: 4.1331258, Test MAE: 4.7306919, Test MAE norm: 0.3360151
Epoch: 068, LR: 0.000900, Loss: 0.2885295, Validation MAE: 4.0840697, Test MAE: 4.7768688, Test MAE norm: 0.3392950
Epoch: 078, LR: 0.000900, Loss: 0.2940021, Validation MAE: 4.2995410, Test MAE: 4.8905735, Test MAE norm: 0.3473713
Epoch: 081, LR: 0.000810, Loss: 0.2933780, Validation MAE: 4.1853151, Test MAE: 4.8000288, Test MAE norm: 0.3409400
Epoch: 082, LR: 0.000810, Loss: 0.3028584, Validation MAE: 4.1498656, Test MAE: 4.6979713, Test MAE norm: 0.3336910
Epoch: 086, LR: 0.000810, Loss: 0.2913185, Validation MAE: 4.1129913, Test MAE: 4.7003465, Test MAE norm: 0.3338597
Epoch: 089, LR: 0.000810, Loss: 0.2876659, Validation MAE: 4.0532451, Test MAE: 4.7615151, Test MAE norm: 0.3382044
Epoch: 090, LR: 0.000810, Loss: 0.2869831, Validation MAE: 4.0327296, Test MAE: 4.7333393, Test MAE norm: 0.3362032
Epoch: 095, LR: 0.000810, Loss: 0.2825194, Validation MAE: 4.0318856, Test MAE: 4.6935706, Test MAE norm: 0.3333784
Epoch: 098, LR: 0.000810, Loss: 0.2822747, Validation MAE: 4.0078468, Test MAE: 4.6794648, Test MAE norm: 0.3323765
Epoch: 100, LR: 0.000810, Loss: 0.2780329, Validation MAE: 3.9904442, Test MAE: 4.6333036, Test MAE norm: 0.3290977
Epoch: 110, LR: 0.000810, Loss: 0.2814754, Validation MAE: 4.5890918, Test MAE: 5.0910783, Test MAE norm: 0.3616129
Epoch: 111, LR: 0.000810, Loss: 0.2916985, Validation MAE: 4.1072702, Test MAE: 4.6741505, Test MAE norm: 0.3319990
Epoch: 112, LR: 0.000729, Loss: 0.2910471, Validation MAE: 4.0644469, Test MAE: 4.6543446, Test MAE norm: 0.3305922
Epoch: 114, LR: 0.000729, Loss: 0.2889588, Validation MAE: 4.0558271, Test MAE: 4.6823158, Test MAE norm: 0.3325790
