Command line input: python run_count.py --batch_size 256 --target 3 --model PPGN --h 3 --seed 1 --epoch 2000 --dataset easy-1
Mean = 8.475, Std = 45.380
Using PPGN model

Epoch: 001, LR: 0.001000, Loss: 0.8093538, Validation MAE: 39.2786293, Test MAE: 42.8527756, Test MAE norm: 0.9443019
Epoch: 002, LR: 0.001000, Loss: 0.9357973, Validation MAE: 13.1038713, Test MAE: 19.5737839, Test MAE norm: 0.4313271
Epoch: 005, LR: 0.001000, Loss: 0.6466706, Validation MAE: 4.8227282, Test MAE: 11.1951342, Test MAE norm: 0.2466955
Epoch: 014, LR: 0.001000, Loss: 0.3393349, Validation MAE: 4.4980493, Test MAE: 10.0756083, Test MAE norm: 0.2220257
Epoch: 017, LR: 0.001000, Loss: 0.3053968, Validation MAE: 3.3069575, Test MAE: 9.6149836, Test MAE norm: 0.2118754
Epoch: 019, LR: 0.001000, Loss: 0.2691919, Validation MAE: 3.0905282, Test MAE: 9.6969652, Test MAE norm: 0.2136819
Epoch: 027, LR: 0.001000, Loss: 0.2891507, Validation MAE: 2.3206010, Test MAE: 8.9349098, Test MAE norm: 0.1968893
Epoch: 037, LR: 0.001000, Loss: 0.2252229, Validation MAE: 3.0555859, Test MAE: 9.3033686, Test MAE norm: 0.2050086
Epoch: 040, LR: 0.000900, Loss: 0.2324205, Validation MAE: 2.2192707, Test MAE: 8.5398998, Test MAE norm: 0.1881849
Epoch: 050, LR: 0.000900, Loss: 0.2086982, Validation MAE: 3.1114426, Test MAE: 9.1717043, Test MAE norm: 0.2021073
Epoch: 052, LR: 0.000810, Loss: 0.2269436, Validation MAE: 2.9713554, Test MAE: 9.2172318, Test MAE norm: 0.2031105
Epoch: 053, LR: 0.000810, Loss: 0.2131092, Validation MAE: 2.8966718, Test MAE: 9.0547905, Test MAE norm: 0.1995310
Epoch: 054, LR: 0.000810, Loss: 0.2132346, Validation MAE: 2.6120727, Test MAE: 8.4038458, Test MAE norm: 0.1851868
Epoch: 056, LR: 0.000810, Loss: 0.2250334, Validation MAE: 2.4579840, Test MAE: 8.4595909, Test MAE norm: 0.1864152
Epoch: 059, LR: 0.000810, Loss: 0.2216188, Validation MAE: 2.4541650, Test MAE: 8.6683912, Test MAE norm: 0.1910163
Epoch: 064, LR: 0.000729, Loss: 0.2029910, Validation MAE: 2.3604834, Test MAE: 8.4808979, Test MAE norm: 0.1868847
Epoch: 066, LR: 0.000729, Loss: 0.2105027, Validation MAE: 2.1221395, Test MAE: 8.2259455, Test MAE norm: 0.1812666
Epoch: 068, LR: 0.000729, Loss: 0.2034206, Validation MAE: 1.9442405, Test MAE: 8.1275387, Test MAE norm: 0.1790981
Epoch: 072, LR: 0.000729, Loss: 0.1974249, Validation MAE: 1.9371275, Test MAE: 8.0623245, Test MAE norm: 0.1776610
Epoch: 074, LR: 0.000729, Loss: 0.1948687, Validation MAE: 1.9255214, Test MAE: 8.0072432, Test MAE norm: 0.1764473
Epoch: 076, LR: 0.000729, Loss: 0.1904849, Validation MAE: 1.9098471, Test MAE: 8.0371437, Test MAE norm: 0.1771062
Epoch: 083, LR: 0.000729, Loss: 0.1852077, Validation MAE: 1.8991084, Test MAE: 7.8268571, Test MAE norm: 0.1724723
Epoch: 093, LR: 0.000729, Loss: 0.1871032, Validation MAE: 1.9438406, Test MAE: 7.6901069, Test MAE norm: 0.1694589
Epoch: 103, LR: 0.000656, Loss: 0.1831995, Validation MAE: 2.5543287, Test MAE: 7.6116128, Test MAE norm: 0.1677292
Epoch: 104, LR: 0.000656, Loss: 0.1851008, Validation MAE: 1.9955918, Test MAE: 7.4137578, Test MAE norm: 0.1633693
Epoch: 109, LR: 0.000590, Loss: 0.1747789, Validation MAE: 1.9933209, Test MAE: 7.1857080, Test MAE norm: 0.1583440
Epoch: 119, LR: 0.000531, Loss: 0.1663077, Validation MAE: 2.1927950, Test MAE: 6.7578468, Test MAE norm: 0.1489156
Epoch: 120, LR: 0.000531, Loss: 0.1670015, Validation MAE: 2.1332891, Test MAE: 6.7946663, Test MAE norm: 0.1497270
Epoch: 121, LR: 0.000531, Loss: 0.1664087, Validation MAE: 2.1135025, Test MAE: 6.6558204, Test MAE norm: 0.1466674
Epoch: 131, LR: 0.000478, Loss: 0.1582759, Validation MAE: 2.5107570, Test MAE: 6.1644621, Test MAE norm: 0.1358398
Epoch: 132, LR: 0.000478, Loss: 0.1617724, Validation MAE: 2.5076628, Test MAE: 6.0174499, Test MAE norm: 0.1326003
Epoch: 134, LR: 0.000478, Loss: 0.1588989, Validation MAE: 2.4894807, Test MAE: 5.5521770, Test MAE norm: 0.1223475
Epoch: 135, LR: 0.000478, Loss: 0.1556778, Validation MAE: 2.4074664, Test MAE: 5.6799808, Test MAE norm: 0.1251638
Epoch: 136, LR: 0.000478, Loss: 0.1562565, Validation MAE: 2.3832028, Test MAE: 5.5465813, Test MAE norm: 0.1222242
