Command line input: python run_count.py --batch_size 256 --target 5 --model I2GNN --h 3 --seed 1 --epoch 2000 --dataset easy-1
Mean = 12.027, Std = 49.808
Using I2GNN model

Epoch: 001, LR: 0.001000, Loss: 0.4981251, Validation MAE: 23.5644875, Test MAE: 25.0604229, Test MAE norm: 0.5031430
Epoch: 002, LR: 0.001000, Loss: 0.4277899, Validation MAE: 20.3275108, Test MAE: 22.6640110, Test MAE norm: 0.4550298
Epoch: 003, LR: 0.001000, Loss: 0.3692209, Validation MAE: 17.5291843, Test MAE: 16.9221783, Test MAE norm: 0.3397499
Epoch: 004, LR: 0.001000, Loss: 0.3308059, Validation MAE: 15.0587521, Test MAE: 18.1743126, Test MAE norm: 0.3648892
Epoch: 006, LR: 0.001000, Loss: 0.4639216, Validation MAE: 14.6106768, Test MAE: 17.7184830, Test MAE norm: 0.3557374
Epoch: 013, LR: 0.001000, Loss: 0.2641762, Validation MAE: 14.2094135, Test MAE: 16.1174622, Test MAE norm: 0.3235934
Epoch: 014, LR: 0.001000, Loss: 0.2485426, Validation MAE: 13.4702816, Test MAE: 14.8146906, Test MAE norm: 0.2974374
Epoch: 015, LR: 0.001000, Loss: 0.2392013, Validation MAE: 12.7951975, Test MAE: 13.7784195, Test MAE norm: 0.2766320
Epoch: 016, LR: 0.001000, Loss: 0.2281572, Validation MAE: 12.4666576, Test MAE: 13.9607658, Test MAE norm: 0.2802930
Epoch: 017, LR: 0.001000, Loss: 0.2180024, Validation MAE: 11.7269487, Test MAE: 12.3560953, Test MAE norm: 0.2480757
Epoch: 018, LR: 0.001000, Loss: 0.2074077, Validation MAE: 10.8768978, Test MAE: 12.4247313, Test MAE norm: 0.2494538
Epoch: 019, LR: 0.001000, Loss: 0.1913987, Validation MAE: 10.6692753, Test MAE: 11.4286175, Test MAE norm: 0.2294546
Epoch: 025, LR: 0.001000, Loss: 0.1930324, Validation MAE: 10.4084959, Test MAE: 11.5897961, Test MAE norm: 0.2326906
Epoch: 026, LR: 0.001000, Loss: 0.1814719, Validation MAE: 10.0502768, Test MAE: 11.0509510, Test MAE norm: 0.2218721
Epoch: 032, LR: 0.001000, Loss: 0.1919203, Validation MAE: 9.2777224, Test MAE: 10.0148506, Test MAE norm: 0.2010701
Epoch: 035, LR: 0.001000, Loss: 0.1744210, Validation MAE: 7.9713240, Test MAE: 10.0817842, Test MAE norm: 0.2024139
Epoch: 037, LR: 0.001000, Loss: 0.1636475, Validation MAE: 7.5390000, Test MAE: 10.0726547, Test MAE norm: 0.2022306
Epoch: 047, LR: 0.001000, Loss: 0.1457891, Validation MAE: 8.5285978, Test MAE: 9.3448963, Test MAE norm: 0.1876193
Epoch: 049, LR: 0.000900, Loss: 0.1563869, Validation MAE: 7.9650049, Test MAE: 10.4613171, Test MAE norm: 0.2100339
Epoch: 050, LR: 0.000900, Loss: 0.1554950, Validation MAE: 6.9792175, Test MAE: 8.5750341, Test MAE norm: 0.1721626
Epoch: 053, LR: 0.000900, Loss: 0.1640104, Validation MAE: 6.6745644, Test MAE: 8.1003704, Test MAE norm: 0.1626327
Epoch: 054, LR: 0.000900, Loss: 0.1199780, Validation MAE: 6.4250975, Test MAE: 8.0736008, Test MAE norm: 0.1620953
Epoch: 057, LR: 0.000900, Loss: 0.1254295, Validation MAE: 5.3619943, Test MAE: 7.2401905, Test MAE norm: 0.1453627
Epoch: 060, LR: 0.000900, Loss: 0.1276712, Validation MAE: 4.9819498, Test MAE: 6.8358326, Test MAE norm: 0.1372443
Epoch: 065, LR: 0.000900, Loss: 0.1377350, Validation MAE: 4.7390037, Test MAE: 6.4962687, Test MAE norm: 0.1304269
Epoch: 075, LR: 0.000900, Loss: 0.1385877, Validation MAE: 7.4994106, Test MAE: 10.0964622, Test MAE norm: 0.2027086
Epoch: 076, LR: 0.000900, Loss: 0.1450382, Validation MAE: 5.2067327, Test MAE: 6.8523250, Test MAE norm: 0.1375755
Epoch: 083, LR: 0.000810, Loss: 0.1152824, Validation MAE: 5.1312771, Test MAE: 6.8567262, Test MAE norm: 0.1376638
Epoch: 085, LR: 0.000810, Loss: 0.1007763, Validation MAE: 4.7987180, Test MAE: 6.5758615, Test MAE norm: 0.1320249
Epoch: 086, LR: 0.000810, Loss: 0.1008459, Validation MAE: 4.5589843, Test MAE: 6.1544542, Test MAE norm: 0.1235642
Epoch: 089, LR: 0.000810, Loss: 0.1007979, Validation MAE: 4.4108815, Test MAE: 6.3071384, Test MAE norm: 0.1266297
Epoch: 090, LR: 0.000810, Loss: 0.0945044, Validation MAE: 4.1722455, Test MAE: 5.8211451, Test MAE norm: 0.1168723
Epoch: 092, LR: 0.000810, Loss: 0.0923201, Validation MAE: 4.1681170, Test MAE: 5.7136798, Test MAE norm: 0.1147147
Epoch: 095, LR: 0.000810, Loss: 0.0998066, Validation MAE: 4.0591936, Test MAE: 5.6666498, Test MAE norm: 0.1137704
Epoch: 097, LR: 0.000810, Loss: 0.0877273, Validation MAE: 3.9344182, Test MAE: 5.3817301, Test MAE norm: 0.1080500
Epoch: 100, LR: 0.000810, Loss: 0.1138677, Validation MAE: 3.8179080, Test MAE: 5.2659779, Test MAE norm: 0.1057261
Epoch: 103, LR: 0.000810, Loss: 0.1089587, Validation MAE: 3.4895005, Test MAE: 5.0237164, Test MAE norm: 0.1008621
Epoch: 107, LR: 0.000810, Loss: 0.0867295, Validation MAE: 3.4576011, Test MAE: 4.9753280, Test MAE norm: 0.0998906
Epoch: 109, LR: 0.000810, Loss: 0.0814367, Validation MAE: 3.3605945, Test MAE: 4.8451800, Test MAE norm: 0.0972776
Epoch: 119, LR: 0.000810, Loss: 0.0819294, Validation MAE: 7.4295278, Test MAE: 7.8191452, Test MAE norm: 0.1569865
Epoch: 120, LR: 0.000810, Loss: 0.1223332, Validation MAE: 3.4080040, Test MAE: 4.7734418, Test MAE norm: 0.0958373
Epoch: 130, LR: 0.000729, Loss: 0.1071989, Validation MAE: 5.6347461, Test MAE: 7.5535078, Test MAE norm: 0.1516532
Epoch: 131, LR: 0.000729, Loss: 0.1144309, Validation MAE: 5.4898314, Test MAE: 7.2266989, Test MAE norm: 0.1450918
Epoch: 132, LR: 0.000656, Loss: 0.1152736, Validation MAE: 5.3881841, Test MAE: 6.5126891, Test MAE norm: 0.1307565
Epoch: 134, LR: 0.000656, Loss: 0.1164900, Validation MAE: 4.0560837, Test MAE: 5.3849878, Test MAE norm: 0.1081154
Epoch: 138, LR: 0.000656, Loss: 0.0942560, Validation MAE: 3.9886801, Test MAE: 5.2975092, Test MAE norm: 0.1063591
Epoch: 139, LR: 0.000656, Loss: 0.0784260, Validation MAE: 3.8873613, Test MAE: 4.8332186, Test MAE norm: 0.0970375
Epoch: 142, LR: 0.000656, Loss: 0.0949956, Validation MAE: 3.4930401, Test MAE: 4.7971878, Test MAE norm: 0.0963141
Epoch: 152, LR: 0.000590, Loss: 0.0876437, Validation MAE: 3.3781974, Test MAE: 4.4810953, Test MAE norm: 0.0899678
Epoch: 156, LR: 0.000531, Loss: 0.0845522, Validation MAE: 3.2532458, Test MAE: 4.3718820, Test MAE norm: 0.0877751
Epoch: 163, LR: 0.000531, Loss: 0.0715088, Validation MAE: 3.1566334, Test MAE: 4.3212438, Test MAE norm: 0.0867585
Epoch: 164, LR: 0.000531, Loss: 0.0773781, Validation MAE: 3.0093479, Test MAE: 4.0613012, Test MAE norm: 0.0815395
Epoch: 168, LR: 0.000531, Loss: 0.0770962, Validation MAE: 2.9084470, Test MAE: 3.9684052, Test MAE norm: 0.0796744
Epoch: 177, LR: 0.000531, Loss: 0.0643761, Validation MAE: 2.8617499, Test MAE: 3.9285011, Test MAE norm: 0.0788733
Epoch: 180, LR: 0.000531, Loss: 0.0691920, Validation MAE: 2.8609045, Test MAE: 3.9116311, Test MAE norm: 0.0785346
Epoch: 190, LR: 0.000531, Loss: 0.0653330, Validation MAE: 3.6526356, Test MAE: 5.0374870, Test MAE norm: 0.1011386
Epoch: 191, LR: 0.000531, Loss: 0.0872479, Validation MAE: 3.1377902, Test MAE: 4.1553149, Test MAE norm: 0.0834271
Epoch: 198, LR: 0.000478, Loss: 0.0815005, Validation MAE: 3.1030753, Test MAE: 4.1008940, Test MAE norm: 0.0823345
Epoch: 199, LR: 0.000478, Loss: 0.0687611, Validation MAE: 3.0162933, Test MAE: 4.0209775, Test MAE norm: 0.0807299
Epoch: 200, LR: 0.000478, Loss: 0.0717919, Validation MAE: 2.9362795, Test MAE: 4.0391212, Test MAE norm: 0.0810942
Epoch: 202, LR: 0.000478, Loss: 0.0762004, Validation MAE: 2.8016415, Test MAE: 3.8423996, Test MAE norm: 0.0771446
Epoch: 206, LR: 0.000478, Loss: 0.0624931, Validation MAE: 2.7534575, Test MAE: 3.7900295, Test MAE norm: 0.0760932
Epoch: 209, LR: 0.000478, Loss: 0.0647413, Validation MAE: 2.7229447, Test MAE: 3.7531796, Test MAE norm: 0.0753533
Epoch: 216, LR: 0.000478, Loss: 0.0671942, Validation MAE: 2.7184813, Test MAE: 3.7879183, Test MAE norm: 0.0760508
Epoch: 226, LR: 0.000478, Loss: 0.0688679, Validation MAE: 2.7813942, Test MAE: 3.8390753, Test MAE norm: 0.0770779
Epoch: 228, LR: 0.000430, Loss: 0.0733809, Validation MAE: 2.7111852, Test MAE: 3.9013290, Test MAE norm: 0.0783277
Epoch: 230, LR: 0.000430, Loss: 0.0661307, Validation MAE: 2.7033064, Test MAE: 3.8712959, Test MAE norm: 0.0777248
Epoch: 236, LR: 0.000430, Loss: 0.0681301, Validation MAE: 2.6539590, Test MAE: 3.7887409, Test MAE norm: 0.0760673
Epoch: 246, LR: 0.000430, Loss: 0.0622625, Validation MAE: 2.7863369, Test MAE: 4.0044804, Test MAE norm: 0.0803987
Epoch: 248, LR: 0.000387, Loss: 0.0607154, Validation MAE: 2.6839876, Test MAE: 3.8536520, Test MAE norm: 0.0773705
Epoch: 249, LR: 0.000387, Loss: 0.0612956, Validation MAE: 2.6566281, Test MAE: 3.8444059, Test MAE norm: 0.0771849
Epoch: 252, LR: 0.000387, Loss: 0.0632580, Validation MAE: 2.6071301, Test MAE: 3.8116071, Test MAE norm: 0.0765264
