Command line input: python run_count.py --batch_size 256 --target 6 --model NGNN --h 3 --seed 1 --epoch 2000 --dataset easy-1
Mean = 15.135, Std = 53.028
Using NGNN model

Epoch: 001, LR: 0.001000, Loss: 0.3934837, Validation MAE: 32.8181152, Test MAE: 30.0167427, Test MAE norm: 0.5660519
Epoch: 002, LR: 0.001000, Loss: 0.5214894, Validation MAE: 19.2298164, Test MAE: 17.1976604, Test MAE norm: 0.3243113
Epoch: 003, LR: 0.001000, Loss: 0.2931061, Validation MAE: 16.9788818, Test MAE: 16.2011604, Test MAE norm: 0.3055194
Epoch: 005, LR: 0.001000, Loss: 0.3158706, Validation MAE: 13.5209017, Test MAE: 12.9313011, Test MAE norm: 0.2438568
Epoch: 006, LR: 0.001000, Loss: 0.2339379, Validation MAE: 10.3222456, Test MAE: 9.3076591, Test MAE norm: 0.1755227
Epoch: 009, LR: 0.001000, Loss: 0.1759705, Validation MAE: 8.7729425, Test MAE: 8.1375742, Test MAE norm: 0.1534573
Epoch: 015, LR: 0.001000, Loss: 0.1583188, Validation MAE: 8.4933558, Test MAE: 7.7603335, Test MAE norm: 0.1463434
Epoch: 016, LR: 0.001000, Loss: 0.1428147, Validation MAE: 7.5503306, Test MAE: 7.1617532, Test MAE norm: 0.1350554
Epoch: 019, LR: 0.001000, Loss: 0.1365377, Validation MAE: 6.1018538, Test MAE: 5.5962219, Test MAE norm: 0.1055328
Epoch: 029, LR: 0.001000, Loss: 0.1402851, Validation MAE: 9.1944790, Test MAE: 8.2860222, Test MAE norm: 0.1562568
Epoch: 030, LR: 0.001000, Loss: 0.1421382, Validation MAE: 8.5131006, Test MAE: 7.7033687, Test MAE norm: 0.1452691
Epoch: 031, LR: 0.000900, Loss: 0.1344422, Validation MAE: 7.4135928, Test MAE: 6.5095587, Test MAE norm: 0.1227564
Epoch: 035, LR: 0.000900, Loss: 0.1215999, Validation MAE: 7.1800709, Test MAE: 6.8472018, Test MAE norm: 0.1291237
Epoch: 037, LR: 0.000900, Loss: 0.1312177, Validation MAE: 6.5137424, Test MAE: 5.3076606, Test MAE norm: 0.1000912
Epoch: 038, LR: 0.000900, Loss: 0.1166055, Validation MAE: 6.3490553, Test MAE: 6.2615013, Test MAE norm: 0.1180786
Epoch: 040, LR: 0.000900, Loss: 0.1160593, Validation MAE: 6.0467677, Test MAE: 5.5221124, Test MAE norm: 0.1041353
Epoch: 041, LR: 0.000900, Loss: 0.1019358, Validation MAE: 6.0050039, Test MAE: 5.6302223, Test MAE norm: 0.1061740
Epoch: 043, LR: 0.000900, Loss: 0.1039381, Validation MAE: 5.4280658, Test MAE: 5.8809333, Test MAE norm: 0.1109019
Epoch: 047, LR: 0.000900, Loss: 0.1012464, Validation MAE: 4.8085384, Test MAE: 5.5369124, Test MAE norm: 0.1044144
Epoch: 049, LR: 0.000900, Loss: 0.0957987, Validation MAE: 4.7079587, Test MAE: 4.9426923, Test MAE norm: 0.0932087
