Command line input: python run_count.py --batch_size 256 --target 7 --model GNN --h 3 --seed 1 --epoch 2000 --dataset easy-1
Mean = 24.580, Std = 73.365
Using GNN model

Epoch: 001, LR: 0.001000, Loss: 0.6520504, Validation MAE: 51.4169769, Test MAE: 43.5435905, Test MAE norm: 0.5935171
Epoch: 002, LR: 0.001000, Loss: 0.6273590, Validation MAE: 49.5832138, Test MAE: 42.1084251, Test MAE norm: 0.5739552
Epoch: 003, LR: 0.001000, Loss: 0.6050009, Validation MAE: 47.7192039, Test MAE: 40.6718826, Test MAE norm: 0.5543745
Epoch: 004, LR: 0.001000, Loss: 0.5822014, Validation MAE: 45.7658195, Test MAE: 39.1798859, Test MAE norm: 0.5340379
Epoch: 005, LR: 0.001000, Loss: 0.5583711, Validation MAE: 43.7710533, Test MAE: 37.6612434, Test MAE norm: 0.5133383
Epoch: 006, LR: 0.001000, Loss: 0.5339006, Validation MAE: 41.7017288, Test MAE: 36.0543137, Test MAE norm: 0.4914351
Epoch: 007, LR: 0.001000, Loss: 0.5082158, Validation MAE: 39.5125809, Test MAE: 34.2913551, Test MAE norm: 0.4674053
Epoch: 008, LR: 0.001000, Loss: 0.4806142, Validation MAE: 37.0963211, Test MAE: 32.2682381, Test MAE norm: 0.4398293
Epoch: 009, LR: 0.001000, Loss: 0.4497263, Validation MAE: 34.3813820, Test MAE: 29.8856983, Test MAE norm: 0.4073544
Epoch: 010, LR: 0.001000, Loss: 0.4146964, Validation MAE: 31.3185711, Test MAE: 27.0589981, Test MAE norm: 0.3688253
Epoch: 011, LR: 0.001000, Loss: 0.3746510, Validation MAE: 27.8834152, Test MAE: 23.6883411, Test MAE norm: 0.3228818
Epoch: 012, LR: 0.001000, Loss: 0.3290290, Validation MAE: 24.1298103, Test MAE: 19.7412968, Test MAE norm: 0.2690820
Epoch: 013, LR: 0.001000, Loss: 0.2784935, Validation MAE: 19.9830513, Test MAE: 15.5808458, Test MAE norm: 0.2123733
Epoch: 014, LR: 0.001000, Loss: 0.2239024, Validation MAE: 17.4075871, Test MAE: 13.4089880, Test MAE norm: 0.1827700
Epoch: 019, LR: 0.001000, Loss: 0.2060066, Validation MAE: 16.3689041, Test MAE: 16.8185768, Test MAE norm: 0.2292441
Epoch: 020, LR: 0.001000, Loss: 0.1912577, Validation MAE: 14.5163460, Test MAE: 15.1227369, Test MAE norm: 0.2061291
Epoch: 021, LR: 0.001000, Loss: 0.1723218, Validation MAE: 13.2738094, Test MAE: 13.8732462, Test MAE norm: 0.1890981
Epoch: 024, LR: 0.001000, Loss: 0.1775606, Validation MAE: 12.9212475, Test MAE: 13.4461432, Test MAE norm: 0.1832765
Epoch: 030, LR: 0.001000, Loss: 0.1515366, Validation MAE: 12.5232544, Test MAE: 12.4957361, Test MAE norm: 0.1703220
Epoch: 031, LR: 0.001000, Loss: 0.1427421, Validation MAE: 12.0778942, Test MAE: 11.9022264, Test MAE norm: 0.1622322
Epoch: 032, LR: 0.001000, Loss: 0.1359677, Validation MAE: 12.0752182, Test MAE: 11.8184042, Test MAE norm: 0.1610897
Epoch: 034, LR: 0.001000, Loss: 0.1364067, Validation MAE: 12.0115910, Test MAE: 11.5667162, Test MAE norm: 0.1576591
Epoch: 035, LR: 0.001000, Loss: 0.1343341, Validation MAE: 11.5771761, Test MAE: 11.0296078, Test MAE norm: 0.1503381
Epoch: 036, LR: 0.001000, Loss: 0.1279329, Validation MAE: 11.1406965, Test MAE: 10.4535513, Test MAE norm: 0.1424862
Epoch: 037, LR: 0.001000, Loss: 0.1212768, Validation MAE: 11.0237684, Test MAE: 10.2115211, Test MAE norm: 0.1391872
Epoch: 039, LR: 0.001000, Loss: 0.1189278, Validation MAE: 10.9853315, Test MAE: 9.9943399, Test MAE norm: 0.1362270
Epoch: 040, LR: 0.001000, Loss: 0.1176301, Validation MAE: 10.7161551, Test MAE: 9.6610594, Test MAE norm: 0.1316842
Epoch: 041, LR: 0.001000, Loss: 0.1135607, Validation MAE: 10.3172617, Test MAE: 9.2030315, Test MAE norm: 0.1254411
Epoch: 042, LR: 0.001000, Loss: 0.1083990, Validation MAE: 9.7642288, Test MAE: 8.6449862, Test MAE norm: 0.1178347
Epoch: 043, LR: 0.001000, Loss: 0.1023005, Validation MAE: 9.6827383, Test MAE: 8.5281219, Test MAE norm: 0.1162418
Epoch: 045, LR: 0.001000, Loss: 0.1020498, Validation MAE: 9.5144930, Test MAE: 8.1903572, Test MAE norm: 0.1116379
Epoch: 046, LR: 0.001000, Loss: 0.0985853, Validation MAE: 8.9090996, Test MAE: 7.5832739, Test MAE norm: 0.1033631
Epoch: 049, LR: 0.001000, Loss: 0.0963579, Validation MAE: 8.7167130, Test MAE: 7.2310915, Test MAE norm: 0.0985628
Epoch: 050, LR: 0.001000, Loss: 0.0906174, Validation MAE: 8.0828686, Test MAE: 6.6416831, Test MAE norm: 0.0905289
Epoch: 054, LR: 0.001000, Loss: 0.0860526, Validation MAE: 7.7226949, Test MAE: 6.2095280, Test MAE norm: 0.0846384
Epoch: 057, LR: 0.001000, Loss: 0.0850378, Validation MAE: 7.5531750, Test MAE: 6.0508361, Test MAE norm: 0.0824754
Epoch: 059, LR: 0.001000, Loss: 0.0824275, Validation MAE: 7.4057326, Test MAE: 5.9573822, Test MAE norm: 0.0812016
Epoch: 064, LR: 0.001000, Loss: 0.0946005, Validation MAE: 7.3628955, Test MAE: 5.9473839, Test MAE norm: 0.0810653
Epoch: 074, LR: 0.001000, Loss: 0.0852781, Validation MAE: 8.3245478, Test MAE: 6.5142832, Test MAE norm: 0.0887924
Epoch: 076, LR: 0.000900, Loss: 0.0945016, Validation MAE: 8.1550236, Test MAE: 6.6411519, Test MAE norm: 0.0905216
Epoch: 080, LR: 0.000900, Loss: 0.0913557, Validation MAE: 7.8684807, Test MAE: 6.8044558, Test MAE norm: 0.0927475
Epoch: 081, LR: 0.000900, Loss: 0.0852675, Validation MAE: 7.8286996, Test MAE: 6.5701971, Test MAE norm: 0.0895545
Epoch: 082, LR: 0.000900, Loss: 0.0856932, Validation MAE: 7.2752104, Test MAE: 6.0365748, Test MAE norm: 0.0822810
Epoch: 087, LR: 0.000900, Loss: 0.0802759, Validation MAE: 7.1298876, Test MAE: 5.9848313, Test MAE norm: 0.0815757
Epoch: 092, LR: 0.000900, Loss: 0.0765091, Validation MAE: 7.0625706, Test MAE: 6.0154414, Test MAE norm: 0.0819929
Epoch: 095, LR: 0.000900, Loss: 0.0786357, Validation MAE: 7.0200844, Test MAE: 5.9441519, Test MAE norm: 0.0810212
Epoch: 096, LR: 0.000900, Loss: 0.0756424, Validation MAE: 7.0136633, Test MAE: 5.6868749, Test MAE norm: 0.0775144
Epoch: 099, LR: 0.000900, Loss: 0.0762213, Validation MAE: 6.9959497, Test MAE: 5.8573499, Test MAE norm: 0.0798381
Epoch: 104, LR: 0.000900, Loss: 0.0763191, Validation MAE: 6.9645109, Test MAE: 5.8115525, Test MAE norm: 0.0792139
Epoch: 105, LR: 0.000900, Loss: 0.0751069, Validation MAE: 6.7101774, Test MAE: 5.6638613, Test MAE norm: 0.0772008
Epoch: 111, LR: 0.000900, Loss: 0.0749970, Validation MAE: 6.3892303, Test MAE: 5.5017934, Test MAE norm: 0.0749917
