Epoch: 001, LR: 0.001000, Loss: 0.6123154, Validation MAE: 29.0220299, Test MAE: 26.9686680, Test MAE norm: 0.5085717
Epoch: 002, LR: 0.001000, Loss: 0.4649823, Validation MAE: 23.9501152, Test MAE: 20.8413372, Test MAE norm: 0.3930233
Epoch: 003, LR: 0.001000, Loss: 0.3715555, Validation MAE: 19.9792824, Test MAE: 19.0433769, Test MAE norm: 0.3591176
Epoch: 004, LR: 0.001000, Loss: 0.3337280, Validation MAE: 15.6901693, Test MAE: 16.5525970, Test MAE norm: 0.3121468
Epoch: 005, LR: 0.001000, Loss: 0.2928720, Validation MAE: 14.3846025, Test MAE: 16.0726776, Test MAE norm: 0.3030965
Epoch: 008, LR: 0.001000, Loss: 0.2394039, Validation MAE: 9.1224604, Test MAE: 11.1102552, Test MAE norm: 0.2095158
Epoch: 010, LR: 0.001000, Loss: 0.2441147, Validation MAE: 8.5516682, Test MAE: 8.9487324, Test MAE norm: 0.1687541
Epoch: 011, LR: 0.001000, Loss: 0.1503118, Validation MAE: 7.0645518, Test MAE: 6.7136555, Test MAE norm: 0.1266053
Epoch: 014, LR: 0.001000, Loss: 0.2535916, Validation MAE: 6.9071593, Test MAE: 8.4631891, Test MAE norm: 0.1595977
Epoch: 018, LR: 0.001000, Loss: 0.1098026, Validation MAE: 5.9243507, Test MAE: 7.1768255, Test MAE norm: 0.1353397
Epoch: 020, LR: 0.001000, Loss: 0.1244061, Validation MAE: 5.5055394, Test MAE: 4.9737616, Test MAE norm: 0.0937946
Epoch: 023, LR: 0.001000, Loss: 0.1030082, Validation MAE: 4.8134460, Test MAE: 4.5385246, Test MAE norm: 0.0855869
Epoch: 025, LR: 0.001000, Loss: 0.0896417, Validation MAE: 4.7934966, Test MAE: 4.7643752, Test MAE norm: 0.0898460
Epoch: 027, LR: 0.001000, Loss: 0.1231947, Validation MAE: 4.6940393, Test MAE: 4.7569284, Test MAE norm: 0.0897055
Epoch: 034, LR: 0.001000, Loss: 0.0769132, Validation MAE: 4.6237369, Test MAE: 4.5115962, Test MAE norm: 0.0850791
Epoch: 035, LR: 0.001000, Loss: 0.0725446, Validation MAE: 4.4899168, Test MAE: 4.3305287, Test MAE norm: 0.0816646
Epoch: 040, LR: 0.001000, Loss: 0.0880765, Validation MAE: 4.0503402, Test MAE: 4.0041037, Test MAE norm: 0.0755089
Epoch: 050, LR: 0.001000, Loss: 0.1015022, Validation MAE: 5.5868382, Test MAE: 5.0886788, Test MAE norm: 0.0959617
Epoch: 051, LR: 0.001000, Loss: 0.0895439, Validation MAE: 3.9571609, Test MAE: 3.7516696, Test MAE norm: 0.0707485
Epoch: 061, LR: 0.001000, Loss: 0.0786540, Validation MAE: 5.6089325, Test MAE: 5.7154460, Test MAE norm: 0.1077811
