Epoch: 001, LR: 0.001000, Loss: 0.4416119, Validation MAE: 0.6892699, Test MAE: 0.7538629, Test MAE norm: 0.5351759
Epoch: 002, LR: 0.001000, Loss: 0.4216982, Validation MAE: 0.6628006, Test MAE: 0.7298754, Test MAE norm: 0.5181469
Epoch: 003, LR: 0.001000, Loss: 0.4011003, Validation MAE: 0.6338974, Test MAE: 0.7030610, Test MAE norm: 0.4991111
Epoch: 004, LR: 0.001000, Loss: 0.3790787, Validation MAE: 0.6061829, Test MAE: 0.6739268, Test MAE norm: 0.4784283
Epoch: 005, LR: 0.001000, Loss: 0.3584443, Validation MAE: 0.5702322, Test MAE: 0.6389750, Test MAE norm: 0.4536157
Epoch: 006, LR: 0.001000, Loss: 0.3335501, Validation MAE: 0.5325808, Test MAE: 0.6017551, Test MAE norm: 0.4271928
Epoch: 007, LR: 0.001000, Loss: 0.3078565, Validation MAE: 0.4922243, Test MAE: 0.5613248, Test MAE norm: 0.3984909
Epoch: 008, LR: 0.001000, Loss: 0.2800349, Validation MAE: 0.4458175, Test MAE: 0.5168526, Test MAE norm: 0.3669195
Epoch: 009, LR: 0.001000, Loss: 0.2478717, Validation MAE: 0.4106146, Test MAE: 0.4826891, Test MAE norm: 0.3426665
Epoch: 010, LR: 0.001000, Loss: 0.2237075, Validation MAE: 0.4086665, Test MAE: 0.4795008, Test MAE norm: 0.3404031
Epoch: 015, LR: 0.001000, Loss: 0.2325249, Validation MAE: 0.3990842, Test MAE: 0.4524966, Test MAE norm: 0.3212325
Epoch: 016, LR: 0.001000, Loss: 0.2208883, Validation MAE: 0.3810335, Test MAE: 0.4330333, Test MAE norm: 0.3074152
Epoch: 021, LR: 0.001000, Loss: 0.2131037, Validation MAE: 0.3766165, Test MAE: 0.4321786, Test MAE norm: 0.3068085
Epoch: 022, LR: 0.001000, Loss: 0.2055159, Validation MAE: 0.3742532, Test MAE: 0.4312067, Test MAE norm: 0.3061186
Epoch: 027, LR: 0.001000, Loss: 0.2030105, Validation MAE: 0.3734974, Test MAE: 0.4338049, Test MAE norm: 0.3079631
Epoch: 028, LR: 0.001000, Loss: 0.1984757, Validation MAE: 0.3676734, Test MAE: 0.4275330, Test MAE norm: 0.3035106
Epoch: 029, LR: 0.001000, Loss: 0.1954014, Validation MAE: 0.3675890, Test MAE: 0.4275106, Test MAE norm: 0.3034947
Epoch: 031, LR: 0.001000, Loss: 0.1969053, Validation MAE: 0.3659614, Test MAE: 0.4265375, Test MAE norm: 0.3028039
Epoch: 032, LR: 0.001000, Loss: 0.1946953, Validation MAE: 0.3620311, Test MAE: 0.4235158, Test MAE norm: 0.3006587
Epoch: 035, LR: 0.001000, Loss: 0.1913229, Validation MAE: 0.3607574, Test MAE: 0.4228804, Test MAE norm: 0.3002076
Epoch: 036, LR: 0.001000, Loss: 0.1901637, Validation MAE: 0.3554946, Test MAE: 0.4167217, Test MAE norm: 0.2958355
Epoch: 037, LR: 0.001000, Loss: 0.1874135, Validation MAE: 0.3497683, Test MAE: 0.4100797, Test MAE norm: 0.2911203
Epoch: 039, LR: 0.001000, Loss: 0.1853317, Validation MAE: 0.3453870, Test MAE: 0.4067652, Test MAE norm: 0.2887672
Epoch: 042, LR: 0.001000, Loss: 0.1812622, Validation MAE: 0.3430195, Test MAE: 0.4085275, Test MAE norm: 0.2900183
Epoch: 044, LR: 0.001000, Loss: 0.1807903, Validation MAE: 0.3424589, Test MAE: 0.4046746, Test MAE norm: 0.2872831
Epoch: 045, LR: 0.001000, Loss: 0.1807864, Validation MAE: 0.3360013, Test MAE: 0.4001473, Test MAE norm: 0.2840691
Epoch: 047, LR: 0.001000, Loss: 0.1805556, Validation MAE: 0.3344800, Test MAE: 0.3981781, Test MAE norm: 0.2826712
Epoch: 050, LR: 0.001000, Loss: 0.1775181, Validation MAE: 0.3334364, Test MAE: 0.3975689, Test MAE norm: 0.2822387
Epoch: 051, LR: 0.001000, Loss: 0.1749592, Validation MAE: 0.3297494, Test MAE: 0.3937930, Test MAE norm: 0.2795581
Epoch: 052, LR: 0.001000, Loss: 0.1738747, Validation MAE: 0.3295515, Test MAE: 0.3924029, Test MAE norm: 0.2785713
Epoch: 053, LR: 0.001000, Loss: 0.1744112, Validation MAE: 0.3265723, Test MAE: 0.3895439, Test MAE norm: 0.2765417
Epoch: 055, LR: 0.001000, Loss: 0.1726679, Validation MAE: 0.3260902, Test MAE: 0.3901816, Test MAE norm: 0.2769943
Epoch: 056, LR: 0.001000, Loss: 0.1714769, Validation MAE: 0.3232575, Test MAE: 0.3850614, Test MAE norm: 0.2733595
Epoch: 060, LR: 0.001000, Loss: 0.1722844, Validation MAE: 0.3204997, Test MAE: 0.3838407, Test MAE norm: 0.2724929
Epoch: 063, LR: 0.001000, Loss: 0.1752523, Validation MAE: 0.3198161, Test MAE: 0.3825844, Test MAE norm: 0.2716011
Epoch: 067, LR: 0.001000, Loss: 0.1721133, Validation MAE: 0.3153782, Test MAE: 0.3783866, Test MAE norm: 0.2686210
Epoch: 069, LR: 0.001000, Loss: 0.1703456, Validation MAE: 0.3133269, Test MAE: 0.3764612, Test MAE norm: 0.2672541
Epoch: 076, LR: 0.001000, Loss: 0.1678169, Validation MAE: 0.3118544, Test MAE: 0.3750100, Test MAE norm: 0.2662238
Epoch: 078, LR: 0.001000, Loss: 0.1659374, Validation MAE: 0.3069067, Test MAE: 0.3690516, Test MAE norm: 0.2619940
Epoch: 080, LR: 0.001000, Loss: 0.1653678, Validation MAE: 0.3061798, Test MAE: 0.3682283, Test MAE norm: 0.2614095
Epoch: 083, LR: 0.001000, Loss: 0.1658600, Validation MAE: 0.3038464, Test MAE: 0.3652161, Test MAE norm: 0.2592711
Epoch: 088, LR: 0.001000, Loss: 0.1643144, Validation MAE: 0.3016348, Test MAE: 0.3626569, Test MAE norm: 0.2574543
Epoch: 097, LR: 0.001000, Loss: 0.1648169, Validation MAE: 0.2977042, Test MAE: 0.3577448, Test MAE norm: 0.2539671
Epoch: 107, LR: 0.001000, Loss: 0.1603044, Validation MAE: 0.2963541, Test MAE: 0.3544549, Test MAE norm: 0.2516316
Epoch: 109, LR: 0.001000, Loss: 0.1626431, Validation MAE: 0.2952195, Test MAE: 0.3527814, Test MAE norm: 0.2504436
Epoch: 113, LR: 0.001000, Loss: 0.1569697, Validation MAE: 0.2950726, Test MAE: 0.3537845, Test MAE norm: 0.2511556
Epoch: 114, LR: 0.001000, Loss: 0.1602274, Validation MAE: 0.2933761, Test MAE: 0.3522906, Test MAE norm: 0.2500951
Epoch: 119, LR: 0.001000, Loss: 0.1636165, Validation MAE: 0.2924189, Test MAE: 0.3496852, Test MAE norm: 0.2482455
Epoch: 128, LR: 0.001000, Loss: 0.1576527, Validation MAE: 0.2899141, Test MAE: 0.3473934, Test MAE norm: 0.2466185
Epoch: 134, LR: 0.001000, Loss: 0.1601829, Validation MAE: 0.2877738, Test MAE: 0.3445961, Test MAE norm: 0.2446327
Epoch: 140, LR: 0.001000, Loss: 0.1588469, Validation MAE: 0.2846954, Test MAE: 0.3385285, Test MAE norm: 0.2403252
Epoch: 147, LR: 0.001000, Loss: 0.1582155, Validation MAE: 0.2829005, Test MAE: 0.3361026, Test MAE norm: 0.2386031
Epoch: 156, LR: 0.001000, Loss: 0.1539060, Validation MAE: 0.2811871, Test MAE: 0.3333349, Test MAE norm: 0.2366382
Epoch: 166, LR: 0.001000, Loss: 0.1512162, Validation MAE: 0.2857678, Test MAE: 0.3347861, Test MAE norm: 0.2376684
Epoch: 169, LR: 0.000900, Loss: 0.1530571, Validation MAE: 0.2844943, Test MAE: 0.3346764, Test MAE norm: 0.2375906
Epoch: 171, LR: 0.000900, Loss: 0.1529305, Validation MAE: 0.2816958, Test MAE: 0.3297238, Test MAE norm: 0.2340747
Epoch: 174, LR: 0.000900, Loss: 0.1529237, Validation MAE: 0.2814911, Test MAE: 0.3308604, Test MAE norm: 0.2348816
Epoch: 177, LR: 0.000900, Loss: 0.1525897, Validation MAE: 0.2807140, Test MAE: 0.3305634, Test MAE norm: 0.2346707
Epoch: 180, LR: 0.000900, Loss: 0.1522384, Validation MAE: 0.2794882, Test MAE: 0.3286184, Test MAE norm: 0.2332900
Epoch: 190, LR: 0.000900, Loss: 0.1483603, Validation MAE: 0.2822578, Test MAE: 0.3269041, Test MAE norm: 0.2320729
Epoch: 193, LR: 0.000810, Loss: 0.1510283, Validation MAE: 0.2818861, Test MAE: 0.3272482, Test MAE norm: 0.2323173
Epoch: 194, LR: 0.000810, Loss: 0.1496867, Validation MAE: 0.2817561, Test MAE: 0.3281533, Test MAE norm: 0.2329597
Epoch: 195, LR: 0.000810, Loss: 0.1528192, Validation MAE: 0.2811775, Test MAE: 0.3259098, Test MAE norm: 0.2313671
Epoch: 197, LR: 0.000810, Loss: 0.1496121, Validation MAE: 0.2809792, Test MAE: 0.3277808, Test MAE norm: 0.2326954
Epoch: 198, LR: 0.000810, Loss: 0.1517280, Validation MAE: 0.2801926, Test MAE: 0.3235357, Test MAE norm: 0.2296817
Epoch: 200, LR: 0.000810, Loss: 0.1496667, Validation MAE: 0.2775155, Test MAE: 0.3228562, Test MAE norm: 0.2291993
Epoch: 201, LR: 0.000810, Loss: 0.1491326, Validation MAE: 0.2759646, Test MAE: 0.3202291, Test MAE norm: 0.2273343
Epoch: 205, LR: 0.000810, Loss: 0.1478366, Validation MAE: 0.2746689, Test MAE: 0.3184084, Test MAE norm: 0.2260417
Epoch: 215, LR: 0.000810, Loss: 0.1551712, Validation MAE: 0.2922263, Test MAE: 0.3426645, Test MAE norm: 0.2432615
Epoch: 216, LR: 0.000810, Loss: 0.1592074, Validation MAE: 0.2789655, Test MAE: 0.3200331, Test MAE norm: 0.2271952
Epoch: 217, LR: 0.000729, Loss: 0.1474686, Validation MAE: 0.2771363, Test MAE: 0.3200932, Test MAE norm: 0.2272378
Epoch: 222, LR: 0.000729, Loss: 0.1474715, Validation MAE: 0.2756137, Test MAE: 0.3158512, Test MAE norm: 0.2242264
Epoch: 223, LR: 0.000729, Loss: 0.1476983, Validation MAE: 0.2749431, Test MAE: 0.3157355, Test MAE norm: 0.2241443
Epoch: 227, LR: 0.000729, Loss: 0.1479605, Validation MAE: 0.2748747, Test MAE: 0.3130035, Test MAE norm: 0.2222047
Epoch: 233, LR: 0.000656, Loss: 0.1485759, Validation MAE: 0.2728645, Test MAE: 0.3147879, Test MAE norm: 0.2234715
Epoch: 243, LR: 0.000656, Loss: 0.1464246, Validation MAE: 0.2774373, Test MAE: 0.3196145, Test MAE norm: 0.2268980
Epoch: 253, LR: 0.000590, Loss: 0.1513985, Validation MAE: 0.2791335, Test MAE: 0.3170920, Test MAE norm: 0.2251072
