Epoch: 001, LR: 0.001000, Loss: 0.6577718, Validation MAE: 40.5358925, Test MAE: 37.2888908, Test MAE norm: 0.5082629
Epoch: 002, LR: 0.001000, Loss: 0.5144687, Validation MAE: 31.5306282, Test MAE: 33.5870972, Test MAE norm: 0.4578060
Epoch: 003, LR: 0.001000, Loss: 0.4229995, Validation MAE: 30.4428158, Test MAE: 32.6297531, Test MAE norm: 0.4447570
Epoch: 004, LR: 0.001000, Loss: 0.4125096, Validation MAE: 23.8254986, Test MAE: 22.8701057, Test MAE norm: 0.3117290
Epoch: 005, LR: 0.001000, Loss: 0.3057145, Validation MAE: 22.3748684, Test MAE: 19.3599815, Test MAE norm: 0.2638845
Epoch: 006, LR: 0.001000, Loss: 0.2804736, Validation MAE: 16.9507427, Test MAE: 15.5564508, Test MAE norm: 0.2120408
Epoch: 011, LR: 0.001000, Loss: 0.2178515, Validation MAE: 15.3699560, Test MAE: 14.0450296, Test MAE norm: 0.1914395
Epoch: 012, LR: 0.001000, Loss: 0.1928779, Validation MAE: 14.2211275, Test MAE: 14.2405500, Test MAE norm: 0.1941046
Epoch: 013, LR: 0.001000, Loss: 0.1798826, Validation MAE: 14.1558990, Test MAE: 15.0458755, Test MAE norm: 0.2050815
Epoch: 016, LR: 0.001000, Loss: 0.1754391, Validation MAE: 13.1169329, Test MAE: 12.4413042, Test MAE norm: 0.1695801
Epoch: 017, LR: 0.001000, Loss: 0.1592527, Validation MAE: 12.1592064, Test MAE: 11.4296360, Test MAE norm: 0.1557906
Epoch: 018, LR: 0.001000, Loss: 0.1490334, Validation MAE: 12.0587101, Test MAE: 11.0832748, Test MAE norm: 0.1510696
Epoch: 019, LR: 0.001000, Loss: 0.1472593, Validation MAE: 11.3935394, Test MAE: 10.3481436, Test MAE norm: 0.1410495
Epoch: 020, LR: 0.001000, Loss: 0.1402767, Validation MAE: 10.4299698, Test MAE: 9.5391655, Test MAE norm: 0.1300227
Epoch: 023, LR: 0.001000, Loss: 0.1296687, Validation MAE: 9.3010178, Test MAE: 8.4559793, Test MAE norm: 0.1152585
Epoch: 027, LR: 0.001000, Loss: 0.1162785, Validation MAE: 8.3234777, Test MAE: 7.7717371, Test MAE norm: 0.1059320
Epoch: 034, LR: 0.001000, Loss: 0.1052410, Validation MAE: 8.2824965, Test MAE: 7.5289650, Test MAE norm: 0.1026229
Epoch: 037, LR: 0.001000, Loss: 0.0972514, Validation MAE: 7.9459715, Test MAE: 7.0269003, Test MAE norm: 0.0957795
Epoch: 038, LR: 0.001000, Loss: 0.0858664, Validation MAE: 7.9069142, Test MAE: 7.2083097, Test MAE norm: 0.0982522
Epoch: 040, LR: 0.001000, Loss: 0.0889267, Validation MAE: 7.3380957, Test MAE: 6.5727201, Test MAE norm: 0.0895889
Epoch: 044, LR: 0.001000, Loss: 0.0832770, Validation MAE: 7.3314681, Test MAE: 6.6001201, Test MAE norm: 0.0899624
Epoch: 045, LR: 0.001000, Loss: 0.0806092, Validation MAE: 7.1539359, Test MAE: 6.3837409, Test MAE norm: 0.0870130
Epoch: 048, LR: 0.001000, Loss: 0.0799458, Validation MAE: 6.8235254, Test MAE: 5.8377657, Test MAE norm: 0.0795712
Epoch: 053, LR: 0.001000, Loss: 0.0891805, Validation MAE: 6.7022467, Test MAE: 6.0624442, Test MAE norm: 0.0826336
Epoch: 063, LR: 0.001000, Loss: 0.0778410, Validation MAE: 7.2734361, Test MAE: 6.6274219, Test MAE norm: 0.0903345
Epoch: 065, LR: 0.000900, Loss: 0.0829835, Validation MAE: 6.8933964, Test MAE: 6.0145907, Test MAE norm: 0.0819813
Epoch: 068, LR: 0.000900, Loss: 0.0796375, Validation MAE: 6.7112193, Test MAE: 6.0992942, Test MAE norm: 0.0831359
Epoch: 073, LR: 0.000900, Loss: 0.0754193, Validation MAE: 6.6905236, Test MAE: 6.0460410, Test MAE norm: 0.0824100
Epoch: 075, LR: 0.000900, Loss: 0.0731718, Validation MAE: 6.6297865, Test MAE: 5.7996526, Test MAE norm: 0.0790517
Epoch: 076, LR: 0.000900, Loss: 0.0700376, Validation MAE: 6.4428401, Test MAE: 5.7237678, Test MAE norm: 0.0780173
Epoch: 078, LR: 0.000900, Loss: 0.0698368, Validation MAE: 6.3419509, Test MAE: 5.7076240, Test MAE norm: 0.0777973
Epoch: 081, LR: 0.000900, Loss: 0.0700341, Validation MAE: 6.3395367, Test MAE: 5.5605073, Test MAE norm: 0.0757920
Epoch: 085, LR: 0.000900, Loss: 0.0668083, Validation MAE: 6.1234732, Test MAE: 5.4161868, Test MAE norm: 0.0738249
Epoch: 095, LR: 0.000900, Loss: 0.0727828, Validation MAE: 6.9095788, Test MAE: 6.0506902, Test MAE norm: 0.0824734
