Epoch: 001, LR: 0.001000, Loss: 0.8828697, Validation MAE: 44.0913696, Test MAE: 35.6750145, Test MAE norm: 0.4862651
Epoch: 003, LR: 0.001000, Loss: 0.7348220, Validation MAE: 38.8097343, Test MAE: 41.1798782, Test MAE norm: 0.5612987
Epoch: 004, LR: 0.001000, Loss: 0.5298715, Validation MAE: 14.4463224, Test MAE: 9.9084597, Test MAE norm: 0.1350564
Epoch: 007, LR: 0.001000, Loss: 0.3341488, Validation MAE: 12.6619482, Test MAE: 13.2735987, Test MAE norm: 0.1809246
Epoch: 009, LR: 0.001000, Loss: 0.2319218, Validation MAE: 9.4453087, Test MAE: 9.9071102, Test MAE norm: 0.1350380
Epoch: 011, LR: 0.001000, Loss: 0.1820034, Validation MAE: 8.4002275, Test MAE: 8.4012127, Test MAE norm: 0.1145120
Epoch: 020, LR: 0.001000, Loss: 0.1465888, Validation MAE: 6.4533563, Test MAE: 6.5331588, Test MAE norm: 0.0890496
Epoch: 030, LR: 0.001000, Loss: 0.0974134, Validation MAE: 10.9771652, Test MAE: 10.5198565, Test MAE norm: 0.1433900
Epoch: 032, LR: 0.000900, Loss: 0.1465725, Validation MAE: 7.7056279, Test MAE: 7.1694317, Test MAE norm: 0.0977223
Epoch: 036, LR: 0.000900, Loss: 0.1464402, Validation MAE: 7.6140747, Test MAE: 7.5470781, Test MAE norm: 0.1028698
Epoch: 038, LR: 0.000900, Loss: 0.1071679, Validation MAE: 7.1334286, Test MAE: 6.4392953, Test MAE norm: 0.0877702
Epoch: 043, LR: 0.000810, Loss: 0.1193799, Validation MAE: 6.8490930, Test MAE: 6.7262511, Test MAE norm: 0.0916816
Epoch: 046, LR: 0.000810, Loss: 0.1191970, Validation MAE: 6.7602935, Test MAE: 6.6933279, Test MAE norm: 0.0912328
Epoch: 049, LR: 0.000810, Loss: 0.1151899, Validation MAE: 6.6448212, Test MAE: 6.0281420, Test MAE norm: 0.0821661
Epoch: 051, LR: 0.000810, Loss: 0.1012548, Validation MAE: 6.2127304, Test MAE: 6.1773987, Test MAE norm: 0.0842005
Epoch: 061, LR: 0.000810, Loss: 0.0929281, Validation MAE: 7.5388412, Test MAE: 6.6283541, Test MAE norm: 0.0903472
Epoch: 063, LR: 0.000729, Loss: 0.0929224, Validation MAE: 6.5329905, Test MAE: 5.7859402, Test MAE norm: 0.0788647
Epoch: 064, LR: 0.000729, Loss: 0.0742470, Validation MAE: 5.7540369, Test MAE: 5.4763327, Test MAE norm: 0.0746447
Epoch: 067, LR: 0.000729, Loss: 0.0961018, Validation MAE: 5.6911364, Test MAE: 5.3162675, Test MAE norm: 0.0724629
Epoch: 074, LR: 0.000729, Loss: 0.1128540, Validation MAE: 5.4830165, Test MAE: 4.9813585, Test MAE norm: 0.0678980
Epoch: 084, LR: 0.000729, Loss: 0.0795854, Validation MAE: 8.6119280, Test MAE: 7.1943183, Test MAE norm: 0.0980615
Epoch: 085, LR: 0.000729, Loss: 0.0965209, Validation MAE: 7.4361587, Test MAE: 6.7445102, Test MAE norm: 0.0919304
Epoch: 086, LR: 0.000656, Loss: 0.0862139, Validation MAE: 5.9320021, Test MAE: 5.2168159, Test MAE norm: 0.0711074
Epoch: 092, LR: 0.000656, Loss: 0.0725040, Validation MAE: 5.8561068, Test MAE: 5.3993087, Test MAE norm: 0.0735948
Epoch: 102, LR: 0.000590, Loss: 0.0677346, Validation MAE: 5.8549285, Test MAE: 5.1054082, Test MAE norm: 0.0695888
Epoch: 104, LR: 0.000590, Loss: 0.0684304, Validation MAE: 5.3953953, Test MAE: 4.4481235, Test MAE norm: 0.0606298
Epoch: 109, LR: 0.000590, Loss: 0.0838709, Validation MAE: 4.9603267, Test MAE: 4.3582625, Test MAE norm: 0.0594049
Epoch: 119, LR: 0.000590, Loss: 0.0857794, Validation MAE: 7.5026717, Test MAE: 6.1217866, Test MAE norm: 0.0834425
Epoch: 120, LR: 0.000590, Loss: 0.0827034, Validation MAE: 5.9742093, Test MAE: 5.2108307, Test MAE norm: 0.0710258
Epoch: 123, LR: 0.000531, Loss: 0.0796779, Validation MAE: 5.8357186, Test MAE: 4.9561129, Test MAE norm: 0.0675539
Epoch: 127, LR: 0.000531, Loss: 0.0727349, Validation MAE: 5.3184257, Test MAE: 4.4684501, Test MAE norm: 0.0609068
Epoch: 128, LR: 0.000531, Loss: 0.0558998, Validation MAE: 5.2837443, Test MAE: 4.3614888, Test MAE norm: 0.0594489
Epoch: 138, LR: 0.000478, Loss: 0.0683960, Validation MAE: 5.3207631, Test MAE: 4.3263979, Test MAE norm: 0.0589706
Epoch: 148, LR: 0.000430, Loss: 0.0654983, Validation MAE: 6.5095530, Test MAE: 5.7688131, Test MAE norm: 0.0786313
Epoch: 149, LR: 0.000430, Loss: 0.0746250, Validation MAE: 5.4365077, Test MAE: 4.8174329, Test MAE norm: 0.0656636
Epoch: 152, LR: 0.000430, Loss: 0.0724114, Validation MAE: 5.2721524, Test MAE: 4.5386968, Test MAE norm: 0.0618643
Epoch: 156, LR: 0.000387, Loss: 0.0631603, Validation MAE: 5.0972433, Test MAE: 4.2558489, Test MAE norm: 0.0580090
Epoch: 157, LR: 0.000387, Loss: 0.0547609, Validation MAE: 4.7218037, Test MAE: 4.0886774, Test MAE norm: 0.0557304
Epoch: 166, LR: 0.000387, Loss: 0.0540205, Validation MAE: 4.4514966, Test MAE: 3.8476486, Test MAE norm: 0.0524450
Epoch: 174, LR: 0.000387, Loss: 0.0466896, Validation MAE: 4.3811183, Test MAE: 3.7435338, Test MAE norm: 0.0510259
Epoch: 178, LR: 0.000387, Loss: 0.0507416, Validation MAE: 4.3796940, Test MAE: 3.8236809, Test MAE norm: 0.0521183
Epoch: 188, LR: 0.000387, Loss: 0.0761717, Validation MAE: 5.7877040, Test MAE: 5.0479259, Test MAE norm: 0.0688053
Epoch: 192, LR: 0.000349, Loss: 0.0742567, Validation MAE: 4.9330792, Test MAE: 4.0928321, Test MAE norm: 0.0557870
Epoch: 202, LR: 0.000314, Loss: 0.0576666, Validation MAE: 5.5444961, Test MAE: 4.8942547, Test MAE norm: 0.0667107
Epoch: 203, LR: 0.000314, Loss: 0.0612916, Validation MAE: 5.1907167, Test MAE: 4.3820081, Test MAE norm: 0.0597286
Epoch: 207, LR: 0.000314, Loss: 0.0584081, Validation MAE: 4.7307038, Test MAE: 4.1249094, Test MAE norm: 0.0562242
Epoch: 209, LR: 0.000314, Loss: 0.0540509, Validation MAE: 4.3777881, Test MAE: 3.7313128, Test MAE norm: 0.0508593
Epoch: 210, LR: 0.000314, Loss: 0.0475527, Validation MAE: 4.1516805, Test MAE: 3.6407561, Test MAE norm: 0.0496250
Epoch: 220, LR: 0.000314, Loss: 0.0545518, Validation MAE: 4.5567026, Test MAE: 4.0199704, Test MAE norm: 0.0547938
Epoch: 225, LR: 0.000282, Loss: 0.0548604, Validation MAE: 4.3053946, Test MAE: 3.8024940, Test MAE norm: 0.0518296
Epoch: 232, LR: 0.000282, Loss: 0.0485240, Validation MAE: 4.2575436, Test MAE: 3.8374131, Test MAE norm: 0.0523055
Epoch: 234, LR: 0.000254, Loss: 0.0502048, Validation MAE: 4.1807532, Test MAE: 3.7387080, Test MAE norm: 0.0509601
